"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	% of Total Deaths
	"Warren County, NJ"	"34041"	38	106798	35.6	0.1%
	"Bernalillo County, NM"	"35001"	131	676773	19.4	0.3%
	"Chaves County, NM"	"35005"	10	64866	Unreliable	0.0%
	"Dona Ana County, NM"	"35013"	22	215579	10.2	0.0%
	"Eddy County, NM"	"35015"	12	56997	Unreliable	0.0%
	"Rio Arriba County, NM"	"35039"	28	39159	71.5	0.1%
	"Sandoval County, NM"	"35043"	21	142507	14.7	0.0%
	"San Juan County, NM"	"35045"	14	126926	Unreliable	0.0%
	"Santa Fe County, NM"	"35049"	31	148750	20.8	0.1%
	"Valencia County, NM"	"35061"	17	75940	Unreliable	0.0%
	"Albany County, NY"	"36001"	41	309612	13.2	0.1%
	"Bronx County, NY"	"36005"	284	1471160	19.3	0.6%
	"Broome County, NY"	"36007"	43	193639	22.2	0.1%
	"Cayuga County, NY"	"36011"	20	77603	25.8	0.0%
	"Chautauqua County, NY"	"36013"	31	129046	24.0	0.1%
	"Chemung County, NY"	"36015"	12	85557	Unreliable	0.0%
	"Columbia County, NY"	"36021"	19	60604	Unreliable	0.0%
	"Cortland County, NY"	"36023"	13	47786	Unreliable	0.0%
	"Dutchess County, NY"	"36027"	87	295568	29.4	0.2%
	"Erie County, NY"	"36029"	243	925528	26.3	0.5%
	"Genesee County, NY"	"36037"	11	57956	Unreliable	0.0%
	"Greene County, NY"	"36039"	12	47470	Unreliable	0.0%
	"Jefferson County, NY"	"36045"	15	114187	Unreliable	0.0%
	"Kings County, NY"	"36047"	295	2648771	11.1	0.6%
	"Lewis County, NY"	"36049"	12	26551	Unreliable	0.0%
	"Monroe County, NY"	"36055"	188	747642	25.1	0.4%
	"Nassau County, NY"	"36059"	188	1369514	13.7	0.4%
	"New York County, NY"	"36061"	201	1664727	12.1	0.4%
	"Niagara County, NY"	"36063"	41	211328	19.4	0.1%
	"Oneida County, NY"	"36065"	52	231332	22.5	0.1%
	"Onondaga County, NY"	"36067"	80	465398	17.2	0.2%
	"Ontario County, NY"	"36069"	21	109899	19.1	0.0%
	"Orange County, NY"	"36071"	82	382226	21.5	0.2%
	"Oswego County, NY"	"36075"	18	118478	Unreliable	0.0%
	"Putnam County, NY"	"36079"	24	99323	24.2	0.1%
	"Queens County, NY"	"36081"	227	2358582	9.6	0.5%
	"Rensselaer County, NY"	"36083"	16	159722	Unreliable	0.0%
